KEGG pathway	Protein accession	KEGG KO No.	T8/S Ratio	Regulated Type
map00410 beta-Alanine metabolism	Aldh1b1	K00128	0.552795814158734	Down
map00410 beta-Alanine metabolism	Ehhadh	K07514	0.432568984784664	Down
map00410 beta-Alanine metabolism	Aldh6a1	K00140	0.629240545800583	Down
map00410 beta-Alanine metabolism	Aldh9a1	K00149	0.4023221777734411	Down
map00620 Pyruvate metabolism	Acacb	K01946	0.622585601404741	Down
map00620 Pyruvate metabolism	Adh1	K13951	0.42241472151335707	Down
map00620 Pyruvate metabolism	Ldhb	K00016	0.6485890819563471	Down
map00620 Pyruvate metabolism	Ldhd	K00102	0.5445212348875801	Down
map00620 Pyruvate metabolism	Acss1	K01895	0.511980591901028	Down
map00620 Pyruvate metabolism	Aldh1b1	K00128	0.552795814158734	Down
map00620 Pyruvate metabolism	Aldh9a1	K00149	0.4023221777734411	Down
map00620 Pyruvate metabolism	Acss2	K01895	0.6209144766007371	Down
map00640 Propanoate metabolism	Acacb	K01946	0.622585601404741	Down
map00640 Propanoate metabolism	Ldhb	K00016	0.6485890819563471	Down
map00640 Propanoate metabolism	Bckdha	K00166	0.601114658663989	Down
map00640 Propanoate metabolism	Dbt	K09699	0.5969320492022099	Down
map00640 Propanoate metabolism	Abat	K13524	5.391603813350309	Up
map00640 Propanoate metabolism	Bckdhb	K00167	0.594579881254147	Down
map00640 Propanoate metabolism	Hadha	K07515	0.590326605902778	Down
map00640 Propanoate metabolism	Acss1	K01895	0.511980591901028	Down
map00640 Propanoate metabolism	Mcee	K05606	0.655309247668693	Down
map00640 Propanoate metabolism	Ehhadh	K07514	0.432568984784664	Down
map00640 Propanoate metabolism	Aldh6a1	K00140	0.629240545800583	Down
map00640 Propanoate metabolism	Acss2	K01895	0.6209144766007371	Down
map00640 Propanoate metabolism	Suclg1	K01899	0.631475014679069	Down
map00640 Propanoate metabolism	Sucla2	K01900	0.6650368596811801	Down
map00650 Butanoate metabolism	Abat	K13524	5.391603813350309	Up
map00650 Butanoate metabolism	Hadh	K00022	0.591699590800057	Down
map00650 Butanoate metabolism	Bdh1	K00019	5.698925965683709	Up
map00650 Butanoate metabolism	Hadha	K07515	0.590326605902778	Down
map00650 Butanoate metabolism	Aldh5a1	K00139	0.663673393323039	Down
map00650 Butanoate metabolism	Ehhadh	K07514	0.432568984784664	Down
map00760 Nicotinate and nicotinamide metabolism	Nt5c1a	K01081	0.367140804298478	Down
map00760 Nicotinate and nicotinamide metabolism	Nt5c2	K01081	1.6424266470177	Up
map00760 Nicotinate and nicotinamide metabolism	Nnt	K00323	0.584916847774733	Down
map00760 Nicotinate and nicotinamide metabolism	Nadk2	K00858	0.557780097109407	Down
map00760 Nicotinate and nicotinamide metabolism	Nampt	K03462	0.615192923606326	Down
map03010 Ribosome	Rpl3	K02925	1.8784025995796299	Up
map03010 Ribosome	Mrps7	K02992	0.6505329627688861	Down
map03010 Ribosome	Mrpl22	K02890	0.660217224683603	Down
map03010 Ribosome	Mrps18a	K02963	0.653265211333024	Down
map03010 Ribosome	Mrpl27	K02899	0.628752034342053	Down
map03010 Ribosome	Mrpl16	K02878	0.5185113624541121	Down
map03010 Ribosome	Mrpl9	K02939	0.640945660232296	Down
map03010 Ribosome	Mrpl15	K02876	0.660057026476579	Down
map03010 Ribosome	Mrps17	K02961	0.5840703096974771	Down
map03010 Ribosome	Mrpl33	K02913	0.6608649320664239	Down
map03010 Ribosome	Mrpl28	K02902	0.643486726634489	Down
map03010 Ribosome	Mrpl14	K02874	0.6169757147984211	Down
map03010 Ribosome	Mrpl13	K02871	0.59734863557352	Down
map03010 Ribosome	Mrpl19	K02884	0.660799321367291	Down
map03010 Ribosome	Mrpl2	K02886	0.646059037301152	Down
map03010 Ribosome	Mrpl17	K02879	0.599589457623026	Down
map03010 Ribosome	Mrps11	K02948	0.6332915708182709	Down
map03010 Ribosome	Mrpl4	K02926	0.6186663556579289	Down
map03320 PPAR signaling pathway	Acsl1	K01897	0.657667886891515	Down
map03320 PPAR signaling pathway	Plin2	K17284	0.28602884122684996	Down
map03320 PPAR signaling pathway	Cpt2	K08766	0.6249126077837329	Down
map03320 PPAR signaling pathway	Slc27a1	K08745	0.5002999018503039	Down
map03320 PPAR signaling pathway	Plin5	K20255	0.38843469313979	Down
map03320 PPAR signaling pathway	Cyp27a1	K00488	1.5173229109467399	Up
map03320 PPAR signaling pathway	Ehhadh	K07514	0.432568984784664	Down
map04146 Peroxisome	Phyh	K00477	0.591184460454466	Down
map04146 Peroxisome	Ech1	K12663	0.55523906226132	Down
map04146 Peroxisome	Sod2	K04564	0.662181554680951	Down
map04146 Peroxisome	Mpv17	K13348	0.5890113492030981	Down
map04146 Peroxisome	Ephx2	K08726	0.6658936328550911	Down
map04146 Peroxisome	Acsl1	K01897	0.657667886891515	Down
map04146 Peroxisome	Crat	K00624	0.618333014719939	Down
map04146 Peroxisome	Ehhadh	K07514	0.432568984784664	Down
map04146 Peroxisome	Gstk1	K13299	0.50584105401142	Down
map04146 Peroxisome	Eci2	K13239	0.62829910887253	Down
map04714 Thermogenesis	Ndufaf6	K18163	0.614329639215166	Down
map04714 Thermogenesis	Prkg1	K07376	1.8525411061285502	Up
map04714 Thermogenesis	Acsl1	K01897	0.657667886891515	Down
map04714 Thermogenesis	Mapk14	K04441	0.592220337127846	Down
map04714 Thermogenesis	Cpt2	K08766	0.6249126077837329	Down
map04714 Thermogenesis	Lipe	K07188	0.38671779843061405	Down
map04714 Thermogenesis	Atp5mf	K02130	0.613461538461539	Down
map04714 Thermogenesis	Cox7a1	K02270	0.622071928707829	Down
map04714 Thermogenesis	Uqcrh	K00416	0.524741619012644	Down
map04714 Thermogenesis	Adcy6	K08046	0.39041894106855496	Down
map04714 Thermogenesis	Prkab2	K07199	1.55473934733855	Up
map04714 Thermogenesis	Ndufv3	K03944	0.49451717103026205	Down
map04714 Thermogenesis	Cox10	K02257	0.565125099060342	Down
map04714 Thermogenesis	Cox19	K18183	1.62610643338958	Up
map04714 Thermogenesis	Ndufs8	K03941	0.660594495784661	Down
map04714 Thermogenesis	Atp5f1c	K02136	0.655017283576817	Down
map04714 Thermogenesis	Ndufa2	K03946	0.634595229376334	Down
map04714 Thermogenesis	Ndufa3	K03947	0.616424029451138	Down
map04714 Thermogenesis	Sdhb	K00235	0.663257105282385	Down
map04714 Thermogenesis	Ndufb4	K03960	0.6580519953369209	Down
map04714 Thermogenesis	Ndufa6	K03950	0.6665561028464649	Down
map04714 Thermogenesis	Ndufb3	K03959	0.629956687696537	Down
map04714 Thermogenesis	Uqcrfs1	K00411	0.6618085173435301	Down
map04714 Thermogenesis	Ndufs4	K03937	0.510683094198378	Down
map04714 Thermogenesis	Ndufs7	K03940	0.661745110054176	Down
map04714 Thermogenesis	Ndufa8	K03952	0.6647945018821	Down
map04714 Thermogenesis	Prkab1	K07199	0.511766871513126	Down
map04714 Thermogenesis	Ndufa7	K03951	0.556666139490748	Down
map04723 Retrograde endocannabinoid signaling	Itpr1	K04958	2.40202879317972	Up
map04723 Retrograde endocannabinoid signaling	Gnao1	K04534	2.10118832570084	Up
map04723 Retrograde endocannabinoid signaling	Prkca	K02677	1.8275710621552301	Up
map04723 Retrograde endocannabinoid signaling	Mapk14	K04441	0.592220337127846	Down
map04723 Retrograde endocannabinoid signaling	Adcy6	K08046	0.39041894106855496	Down
map04723 Retrograde endocannabinoid signaling	Ndufv3	K03944	0.49451717103026205	Down
map04723 Retrograde endocannabinoid signaling	Ndufs8	K03941	0.660594495784661	Down
map04723 Retrograde endocannabinoid signaling	Ndufa2	K03946	0.634595229376334	Down
map04723 Retrograde endocannabinoid signaling	Ndufa3	K03947	0.616424029451138	Down
map04723 Retrograde endocannabinoid signaling	Ndufb4	K03960	0.6580519953369209	Down
map04723 Retrograde endocannabinoid signaling	Ndufa6	K03950	0.6665561028464649	Down
map04723 Retrograde endocannabinoid signaling	Ndufb3	K03959	0.629956687696537	Down
map04723 Retrograde endocannabinoid signaling	Gng10	K04545	1.63522884882108	Up
map04723 Retrograde endocannabinoid signaling	Ndufs4	K03937	0.510683094198378	Down
map04723 Retrograde endocannabinoid signaling	Gnai3	K04630	1.53824141519251	Up
map04723 Retrograde endocannabinoid signaling	Ndufs7	K03940	0.661745110054176	Down
map04723 Retrograde endocannabinoid signaling	Ndufa8	K03952	0.6647945018821	Down
map04723 Retrograde endocannabinoid signaling	Ndufa7	K03951	0.556666139490748	Down
map04911 Insulin secretion	Ryr2	K04962	0.650801781223322	Down
map04911 Insulin secretion	Camk2a	K04515	0.4653693931398421	Down
map04911 Insulin secretion	Prkca	K02677	1.8275710621552301	Up
map04911 Insulin secretion	Rab3a	K07882	0.628089868759347	Down
map04911 Insulin secretion	Adcy6	K08046	0.39041894106855496	Down
map04911 Insulin secretion	Kcnj11	K05004	0.554436369781984	Down
map04913 Ovarian steroidogenesis	Acot1	K01068	0.0652228360095501	Down
map04913 Ovarian steroidogenesis	Alox5	K00461	0.530405663588931	Down
map04913 Ovarian steroidogenesis	Adcy6	K08046	0.39041894106855496	Down
map04913 Ovarian steroidogenesis	Acot2	K01068	0.520733286569902	Down
map04922 Glucagon signaling pathway	Acacb	K01946	0.622585601404741	Down
map04922 Glucagon signaling pathway	Camk2a	K04515	0.4653693931398421	Down
map04922 Glucagon signaling pathway	Itpr1	K04958	2.40202879317972	Up
map04922 Glucagon signaling pathway	Ldhb	K00016	0.6485890819563471	Down
map04922 Glucagon signaling pathway	Pfkm	K00850	0.618452778461214	Down
map04922 Glucagon signaling pathway	Fbp2	K03841	0.248770814212666	Down
map04922 Glucagon signaling pathway	Prkab2	K07199	1.55473934733855	Up
map04922 Glucagon signaling pathway	Phkb	K07190	0.595694668539391	Down
map04922 Glucagon signaling pathway	Prkab1	K07199	0.511766871513126	Down
map04922 Glucagon signaling pathway	Pfkp	K00850	2.0815157436883402	Up
map04932 Non-alcoholic fatty liver disease	Mapk14	K04441	0.592220337127846	Down
map04932 Non-alcoholic fatty liver disease	Cox7a1	K02270	0.622071928707829	Down
map04932 Non-alcoholic fatty liver disease	Uqcrh	K00416	0.524741619012644	Down
